"qname","qtype","dimension","ecode","value","rescaled_value","identity"
"Q758_2","association","politics",21.0537053381684,0,0,"adult"
"Q758_2","association","politics",18.0546397164126,69,0.69,"adult"
"Q758_2","association","politics",37.3213952040117,53,0.53,"adult"
"Q758_2","association","politics",41.9465678492437,78,0.78,"adult"
"Q758_2","association","politics",46.570440877129,89,0.89,"adult"
"Q758_2","association","politics",16.1789553866673,73,0.73,"adult"
"Q758_2","association","politics",19.9593024861438,75,0.75,"adult"
"Q758_2","association","politics",21.4620945338304,83,0.83,"adult"
"Q758_2","association","politics",18.690694542064,37,0.37,"adult"
"Q758_2","association","politics",23.157884419234,51,0.51,"adult"
"Q758_2","association","politics",20.7439652429297,52,0.52,"adult"
"Q758_3","association","justice",34.100279099797,6,0.06,"adult"
"Q758_3","association","justice",48.2676862853737,49,0.49,"adult"
"Q758_3","association","justice",54.0849649885402,53,0.53,"adult"
"Q758_3","association","justice",41.646975005429,72,0.72,"adult"
"Q758_3","association","justice",44.582744440898,12,0.12,"adult"
"Q758_3","association","justice",21.0537053381684,0,0,"adult"
"Q758_3","association","justice",18.0546397164126,3,0.03,"adult"
"Q758_3","association","justice",37.3213952040117,2,0.02,"adult"
"Q758_3","association","justice",41.9465678492437,2,0.02,"adult"
"Q758_3","association","justice",46.570440877129,90,0.9,"adult"
"Q758_3","association","justice",16.1789553866673,44,0.44,"adult"
"Q758_3","association","justice",19.9593024861438,31,0.31,"adult"
"Q758_3","association","justice",21.4620945338304,76,0.76,"adult"
"Q758_3","association","justice",18.690694542064,15,0.15,"adult"
"Q758_3","association","justice",23.157884419234,27,0.27,"adult"
"Q758_3","association","justice",20.7439652429297,2,0.02,"adult"
"Q758_4","association","medicine",34.100279099797,8,0.08,"adult"
"Q758_4","association","medicine",48.2676862853737,75,0.75,"adult"
"Q758_4","association","medicine",54.0849649885402,53,0.53,"adult"
"Q758_4","association","medicine",41.646975005429,25,0.25,"adult"
"Q758_4","association","medicine",44.582744440898,11,0.11,"adult"
"Q758_4","association","medicine",21.0537053381684,25,0.25,"adult"
"Q758_4","association","medicine",18.0546397164126,30,0.3,"adult"
"Q758_4","association","medicine",37.3213952040117,24,0.24,"adult"
"Q758_4","association","medicine",41.9465678492437,42,0.42,"adult"
"Q758_4","association","medicine",46.570440877129,89,0.89,"adult"
"Q758_4","association","medicine",16.1789553866673,52,0.52,"adult"
"Q758_4","association","medicine",19.9593024861438,31,0.31,"adult"
"Q758_4","association","medicine",21.4620945338304,48,0.48,"adult"
"Q758_4","association","medicine",18.690694542064,17,0.17,"adult"
"Q758_4","association","medicine",23.157884419234,0,0,"adult"
"Q758_4","association","medicine",20.7439652429297,53,0.53,"adult"
"Q758_5","association","business",34.100279099797,14,0.14,"adult"
"Q758_5","association","business",48.2676862853737,75,0.75,"adult"
"Q758_5","association","business",54.0849649885402,53,0.53,"adult"
"Q758_5","association","business",41.646975005429,56,0.56,"adult"
"Q758_5","association","business",44.582744440898,26,0.26,"adult"
"Q758_5","association","business",21.0537053381684,0,0,"adult"
"Q758_5","association","business",18.0546397164126,90,0.9,"adult"
"Q758_5","association","business",37.3213952040117,52,0.52,"adult"
